m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
Regal Conqueror,9/30/2013,"2, f, Sky Conqueror - Classic Stamp, by Regal Classic",D. Banach,Cut leg  ,Finished eighth at 13-10 odds in the Princess Elizabeth Stakes at Woodbine on November 2,,,,,,,,,,,,,,,,,
R Holiday Mood,1/17/2013,"5, m, Trippi - Polish Holiday, by Danzig",T. Pletcher,Knee       ,Finished third at 6-5 odds in the Florida Sunshine Millions Filly and Mare Sprint at Gulfstream on January 19,,,,,,,,,,,,,,,,,
Riding the River,5/23/2013,"6, g, Wiseman's Ferry - Glow Ruby Go, by Rubiano",D. Cotey,Bone bruising back ankles,Finished second at 7-1 odds in the Grade 2 Connaught Cup at Woodbine on May 26,,,,,,,,,,,,,,,,,
River Seven,5/8/2013,"3, g, Johannesburg - Sans Souci Island, by Chester House",N. Gonzalez,Minor setback - N. Gonzalez,Finished fourth at 8-5 odds in the Queenston Stakes at Woodbine on May 11,,,,,,,,,,,,,,,,,
Riverside Theatre,3/6/2013,"9, g, King's Theatre - Disallowed, by Distinctly North",N. Henderson,Ulcers,Finished fourth at 7-1 odds in the Grade 1 Festival Trophy Chase at Cheltenham on March 14,,,,,,,,,,,,,,,,,
Rogue Romance,7/4/2012,"5, h, Smarty Jones - Lovington, by Afleet",K. McPeek,Fractured right front foot ,Finished ninth at 8-1 odds in an 'n2x' allowance at Keeneland on October 18,,,,,,,,,,,,,,,,,
Rose to Gold,5/27/2013,"3, f, Friends Lake - Saucy, by Tabasco Cat",S. Santoro,Bone chips two ankles and two knees (surgery),Finished fifth at 14-1 odds in the Grade 3 My Charmer Handicap at Calder on December 7,,,,,,,,,,,,,,,,,
Ruler On Ice,1/18/2013,"5, g, Roman Ruler - Champagne Glow, by Saratoga Six",K. Breen,Unspecified issues,Finished first at 6-5 odds in an 'n3x' optional claimer at Aqueduct on January 30,,,,,,,,,,,,,,,,,
Rumor,1/25/2013,"5, m, Indian Charlie - Mini Chat, by Deputy Minister",R. Mandella,"""She just doesn’t seem to be herself."" - R. Mandella",Finished seventh at 7-1 odds in the Wishing Well Stakes at Santa Anita on February 10,,,,,,,,,,,,,,,,,
Rydilluc,4/30/2013,"3, c, Medaglia d'Oro - Swift and Classy, by Clever Trick",G. Contessa,Foot bruise,Finished first at 8-5 odds in the Penn Mile Stakes at Penn National on June 1,,,,,,,,,,,,,,,,,
Sandbaggen,12/22/2011,"5, g, Indy King - Devil's Wench, by Well Decorated",R. Leppal,Right front suspensory,"Finished thirteenth at 34-1 odds in a $5,000, 'n2L' claimer at Colonial Downs on June 21",,,,,,,,,,,,,,,,,
Saratoga Snacks,10/4/2013,"4, r, Tale of the Cat - Near and Dear, by Red Ransom",G. Sciacca,Feet (glue-on shoes) + Sick,Finished first at 3-2 odds in the Empire Classic Handicap at Belmont on October 19,,,,,,,,,,,,,,,,,
Sayler's Creek,1/26/2013,"3, c, Bernstein - Postulant, by Pulpit",K. McPeek,Displaced palate,Finished fifth at 7-1 odds in an 'n1x' optional claimer at Gulfstream on March 9,,,,,,,,,,,,,,,,,
Seaneen Girl,2/19/2013,"3, f, Spring At Last - Afternoon Krystal, by Afternoon Deelites",B. Flint,Bruised foot,Finished third at 24-1 odds in the Grade 2 Fair Grounds Oaks at Fair Grounds on March 30,,,,,,,,,,,,,,,,,
Secretsatmidnight,1/27/2013,"3, c, Midnight Lute - Donnie's Secret, by Tiger Ridge",B. Baffert,Illness,Finished eighth at 7-2 odds in a maiden special weight at Santa Anita on October 10,,,,,,,,,,,,,,,,,
Secret Circle,4/19/2012,"4, c, Eddington - Ragtime Hope, by Dixieland Band",B. Baffert,Sesamoid + Tibia,Finished first at 6-5 odds in an OPC-N - at Santa Anita on October 14,,,,,,,,,,,,,,,,,
Setsuko,11/21/2013,"6, g, Pleasantly Perfect - Dance With Grace, by Mr. Prospector",R. Mandella,Suspensory  ,Finished seventh at 6-1 odds in the Grade 3 Native Diver Stakes at Betfair Hollywood on December 14,,,,,,,,,,,,,,,,,
Shanghai Bobby,4/11/2013,"3, c, Harlan's Holiday - Steelin', by Orientate",T. Pletcher,Pelvic stress fracture (no surgery),Finished first at 3-5 odds in the Aljamin Stakes at Belmont on September 20,,,,,,,,,,,,,,,,,
Shakin It Up,1/30/2013,"3, c, Midnight Lute - Silver Bullet Moon, by Vindication",B. Baffert,Foot,Finished first at 2-1 odds in the Grade 2 San Vicente Stakes at Santa Anita on February 17,,,,,,,,,,,,,,,,,
Shumoos,1/23/2013,"4, f, Distorted Humor - Wile Cat, by Sharp Cat",B. Meehan/B. Cecil,Undisclosed,Finished first at 3-1 odds in an 'n2x' optional claimer at Santa Anita on January 25,,,,,,,,,,,,,,,,,
Silent Fright,2/20/2013,"5, m, Yes It's True - Val Marie, by Coronado's Quest",K. McLaughlin,Minor issues (no surgery) + Temperature,Finished seventh at 17-10 odds in an 'n1x' optional claimer at Gulfstream on February 22,,,,,,,,,,,,,,,,,
Sky Kingdom,3/14/2012,"4, c, Empire Maker - Sky Beam, by Kingmambo",B. Baffert,Undisclosed,Finished first at 7-2 odds in an 'n2x' optional claimer at Santa Anita on January 24,,,,,,,,,,,,,,,,,
Slim Shadey,6/6/2013,"5, g, Val Royal - Vino Veritas, by Chief's Crown",S. Callaghan,Swollen pastern,Finished sixth at 5-2 odds in the Grade 2 Charles Whittingham Memorial Handicap at Betfair Hollywood on June 8,,,,,,,,,,,,,,,,,
Smitten,2/19/2013,"3, f, Tapit - Hi Lili, by Silver Deputy",J. Jones,"Infected puncture wound (antibiotics, missed week)",Finished eighth at 3-1 odds in the Allen Lacombe Memorial Stakes at Fair Grounds on March 2,,,,,,,,,,,,,,,,,
Smooth Bert,1/14/2013,"3, c, Smooth Jazz - Little Bertie, by Devil His Due",L. Gyarmati,Temperature     ,Finished sixth at 17-1 odds in the Grade 3 Withers Stakes at Aqueduct on February 2,,,,,,,,,,,,,,,,,
Smooth Bert,4/15/2013,"3, c, Smooth Jazz - Little Bertie, by Devil His Due",L. Gyarmati,Undescended testicle (now a ridgeling),Finished second at 4-1 odds in an 'n2x' optional claimer at Aqueduct on April 17,,,,,,,,,,,,,,,,,
Smoove It,10/11/2013,"2, f, Square Eddie - Smoove, by Distorted Humor",D. O'Neill,Body sore,Finished tenth at 7-1 odds in the Golden State Juvenile Fillies Stakes at Santa Anita on November 1,,,,,,,,,,,,,,,,,
So Pretty,5/4/2013,"4, f, Forest Wildcat - Purse Snatcher, by Allen's Prospect",J. Carava,Slightly injured in gate 5/4,"Finished eleventh at 55-1 odds in a $20,000 maiden claimer at Betfair Hollywood on June 23",,,,,,,,,,,,,,,,,
South Floyd,11/2/2013,"3, c, Any Given Saturday - Major Wager, by Valid Wager",D. O'Neill,Lame left foreleg,Finished third at 3-1 odds in an 'n1x' optional claimer at Betfair Hollywood on May 23,,,,,,,,,,,,,,,,,
Speak Logistics,3/23/2013,"3, c, High Cotton - Miss Sabrina, by Summer Squall",E. Plesa Jr.,"Foot (missed work, glue-on shoes)",Finished second at 4-5 odds in the Calder Derby at Calder on April 6,,,,,,,,,,,,,,,,,
Speedy Vixen,5/4/2013,"5, m, Birdonthewire - Sparkling Fox, by Foxhound",V. Fernandez,Slightly injured in gate 5/4,"Finished fourth at 5-1 odds in a $20,000 maiden claimer at Betfair Hollywood on May 18",,,,,,,,,,,,,,,,,
Spellbound,4/16/2013,"3, f, Bernardini - Layreebelle, by Tale of the Cat",R. Mandella,Bone chip ankle ,Finished sixth at 20-1 odds in the Grade 2 Bayakoa Stakes at Betfair Hollywood on December 7,,,,,,,,,,,,,,,,,
Successful Dan,7/28/2013,"7, g, Successful Appeal - Lisa Danielle, by Wolf Power",C. LoPresti,Ligament strain left front ankle,Finished first at 4-5 odds in the Grade 3 Ben Ali Stakes at Keeneland on April 21,,,,,,,,,,,,,,,,,
Sugarinthemorning,4/24/2013,"5, m, Candy Ride - Social Belle, by In Excess",R. McAnally,Grabbed quarter,Finished fourth at 5-2 odds in the B. Thoughtful Stakes at Betfair Hollywood on April 27,,,,,,,,,,,,,,,,,
Summer Applause,5/22/2012,"4, f, Harlan's Holiday - Summer Exhibition, by Royal Academy",W. Calhoun,Knee chip (surgery),Finished sixth at 7-2 odds in the Houston Ladies Classic Stakes at Sam Houston on January 26,,,,,,,,,,,,,,,,,
Swift Warrior,5/8/2013,"5, h, First Samurai - Afleet Summer, by Afleet",J. Terranova II,Tied up,Finished in a dead-heat for seventh at 5-1 in the Grade 2 Dixie Stakes at Pimlico on May 18,,,,,,,,,,,,,,,,,
Tale of a Champion,7/5/2013,"5, h, Tale of the Cat - If Angels Sang, by Seattle Slew",K. Mulhall,Foot abscess,Finished tenth at 14-1 odds in the Grade 2 John Henry Turf Cup Championship at Santa Anita on September 29,,,,,,,,,,,,,,,,,
Tammys Hill,3/1/2013,"8, g, Tamayuz - Hillside Lass, by Troy Fair",L. Lennon,Pulled shoulder muscle,Finished first at 2-7 odds in the Joseph R. O'Reilly Memorial Hunters Chase at Fairyhouse on April 2,,,,,,,,,,,,,,,,,
Tapicat,4/6/2013,"3, f, Tapit - Zealous Cat - by Storm Cat",W. Mott,Fever ,Finished third at 5-2 odds in the Grade 2 Lake George Stakes at Saratoga on July 24,,,,,,,,,,,,,,,,,
Taptowne,11/1/2013,"5, g, Tapit - Holly's Wager, by Valid Wager",T. Glyshaw,Bruised foot,Finished first at 1-1 odds in the Swatara Stakes at Penn National on November 27,,,,,,,,,,,,,,,,,
Taste Like Candy,12/4/2013,"2, f, Candy Ride - My Success, by A.P. Indy",J. Hollendorfer,Foot,Finished second at 5-2 odds in the Grade 1 Hollywood Starlet at Betfair Hollywood Park on December 7,,,,,,,,,,,,,,,,,
Telescope,5/14/2013,"3, c, Galileo - Velouette, by Darshaan",S.M. Stoute,"Infected pastern, Heat in left shin",Finished first at 1-2 odds in the ATR Sky 415 Stakes at Leicester on July 18,,,,,,,,,,,,,,,,,
The Lumber Guy,1/16/2013,"4, c, Grand Slam - Boltono, by Unbridled's Song",N. Drysdale,Quarter crack + Bruised foot ,Finished seventh at 19-10 odds in the Grade 2 San Carlos Stakes at Santa Anita on February 23,,,,,,,,,,,,,,,,,
The Lumber Guy,8/3/2013,"4, c, Grand Slam - Boltono, by Unbridled's Song",N. Drysdale/M. Hushion,Undislosed,Finished second at 9-10 odds in the Chowder's First Stakes at Saratoga on August 23,,,,,,,,,,,,,,,,,
Thirtyfirststreet,1/25/2013,"5, h, Good Journey - Avian, by Sky Classic",P. Eurton,Sick,Finished sixth at 6-1 odds in the Crystal Water Stakes at Santa Anita on January 26,,,,,,,,,,,,,,,,,
Tidal Bay,1/26/2013,"12, g, Flemensfirth - June's Bride, by Le Moss",P. Nicholls,Pus in foot (slightly lame and sore),Finished first at 11-4 odds in the Grade 2 Bet365 Hurdle at Wetherby on November 2,,,,,,,,,,,,,,,,,
Titletown Five,1/22/2013,"3, c, Tiznow - D' Wildcat Speed, by Forest Wildcat",D. Lukas,Knee chip (surgery),Finished second at 11-10 odds in the Gazebo Stakes at Oaklawn on March 2,,,,,,,,,,,,,,,,,
Tiz a Minister,4/29/2013,"3, c, Ministers Wild Cat - Tiz a Mistress, by Cee's Tizzy",P. Aguirre,Bruised foot,Finished first at 5-1 odds in the Grade 3 Affirmed Handicap at Betfair Hollywood on June 2,,,,,,,,,,,,,,,,,
Tiz the Truth,3/4/2013,"3, c, Tiznow - Truly Blessed, by French Deputy",B. Baffert,Quarter crack,Finished seventh at 3-1 odds in an 'n1x' optional claimer at Del Mar on August 31,,,,,,,,,,,,,,,,,
Tones,7/2/2013,"4, c, Strategic Prince -Social Honour, by Entrepreneur",L. Mora/D. O'Neill,Body soreness,Finished sixth at 12-1 odds in an 'n2x' optional claimer at Betfair Hollywood on July 4,,,,,,,,,,,,,,,,,
Touch Magic,2/19/2013,"3, f, Lion Heart - Unifier, by Deputy Minister",P. Devereux Jr.,Inflamed right hock,Finished eighth at 27-1 odds in the Grade 3 Eight Belles Stakes at Churchill on May 3,,,,,,,,,,,,,,,,,
Tour Guide,2/13/2013,"3, c, Broken Vow - Homefortheholidays, by Came Home",W. Calhoun,Shin ,Finished eighth at 19-10 odds in the Bachelor Stakes at Oaklawn on April 6,,,,,,,,,,,,,,,,,
Travesura,2/22/2013,"3, f, Limehouse - Tempestra, by Tale of the Cat",J. Mullins,Pelvis (no surgery),Finished fifth at 7-1 odds in the Le Cle Stakes at Betfair Hollywood on July 7,,,,,,,,,,,,,,,,,
Treasury Bill,12/21/2013,"3, c, Lemon Drop Kid - Wow Me Free, by Menifee",R. Ellis,Sick,Finished first at 2-1 odds in a maiden special weight at Santa Anita on January 27,,,,,,,,,,,,,,,,,
Turallure,7/20/2012,"6, h, Wando - Personal Allure, by Wekiva Springs",C. LoPresti,Bone bruising,Finished sixth at 5-2 odds in an 'n$y' allowance at Keeneland on April 6,,,,,,,,,,,,,,,,,
Unaccompanied,2/26/2013,"6, m, Danehill Dancer - Legend Has It, by Sadler's Wells",D. Weld,Pulled muscle     ,Finished third at 7-2 odds in the Challenge Stakes at Leopardstown on July 18,,,,,,,,,,,,,,,,,
Uncaptured,2/1/2013,"3, c, Lion Heart - Captivating, by Arch",M. Casse,"Bruised foot, + Popped abscess other foot",Finished second at 3-1 odds in the Grade 3 Spiral Stakes at Turfway on March 23,,,,,,,,,,,,,,,,,
Untapable,8/12/2013,"2, f, Tapit - Fun House, by Prized",S. Asmussen,Signs of colic,Finished first at 5-1 odds in the Grade 2 Pocahontas Stakes at Churchill Downs on September 7,,,,,,,,,,,,,,,,,
Valid,2/3/2013,"3, c, Medaglia d'Oro - Grand Prayer, by Grand Slam",K. McLaughlin,Grabbed quarter right front foot (became infected),Finished fourth at 6-5 odds in an 'n1x' allowance at Belmont on July 6,,,,,,,,,,,,,,,,,
Verrazano,3/9/2013,"3, c, More Than Ready - Enchanted Rock, by Giant's Causeway",T. Pletcher,Grabbed quarter right front foot   ,Finished first at 4-5 odds in the Grade 1 Wood Memorial Stakes at Aqueduct on April 6,,,,,,,,,,,,,,,,,
Verrazano,5/4/2013,"3, c, More Than Ready - Enchanted Rock, by Giant's Causeway",T. Pletcher,Gashed left rear hock,Finished first at 2-5 odds in the Grade 3 Pegasus Stakes at Monmouth on June 16,,,,,,,,,,,,,,,,,
Villanesca,4/13/2013,"4, f, Distorted Humor - Balletto, by Timber Country",K. McLaughlin,Cast stall (cuts both forelegs),Finished first at 19-10 odds in the Magnolia Jackson Stakes at Belmont on July 5,,,,,,,,,,,,,,,,,
Vyjack,4/6/2013,"3, g, Into Mischief - Life Happened, by Stravinsky",R. Rodriguez,"Mucus in lungs (antibiotics for 3-4 days, hyperbaric chamber)",Finished eighteenth at 18-1 odds in the Grade 1 Kentucky Derby at Churchill on May 4,,,,,,,,,,,,,,,,,
War Academy,1/29/2013,"3, c, Giant's Causeway - Cabbage Key, by A.P. Indy",B. Baffert,Illness,Finished fourth at 6-1 odds in the Grade 2 San Vicente Stakes at Santa Anita on February 17,,,,,,,,,,,,,,,,,
Wave Theory,5/3/2013,"3, f, Smart Strike - Glimmering, by Sadler's Wells",C. Brown,Minor cuts,Finished second at 9-2 odds in the Grade 2 Sands Point Stakes at Belmont on May 27,,,,,,,,,,,,,,,,,
Went the Day Well,7/17/2012,"4, c, Proud Citizen - Tiz Maie's Day, by Tiznow",H. Motion,Bone bruising front ankles,Finished fifth at 1-2 odds in an 'n2x' optional claimer at Aqueduct on March 3,,,,,,,,,,,,,,,,,
West Hills Giant,3/30/2013,"3, c, Frost Giant - Outtawesthills, by Take Me Out",J. Terranova II,Cracked tooth + Respiratory infection (missed workout),Finished twelfth at 38-1 odds in the Grade 1 Blue Grass Stakes at Keeneland on April 13,,,,,,,,,,,,,,,,,
Whiskey Romeo,3/7/2013,"3, c, Forestry - Yoursmineours, by Belong to Me",A. Dutrow,Grabbed quarter right front foot      ,"Finished sixth at 4-1 odds in the Fred ""Cappy"" Capossela Stakes at Aqueduct on March 9",,,,,,,,,,,,,,,,,
William's Wishes,1/26/2013,"8, g, Oscar - Strong Wishes, by Strong Gale",E. Williams,Lame,Finshed fifth at 4-1 odds in the Grade 2 Haldon Gold Cup Chase at Exeter on November 5,,,,,,,,,,,,,,,,,
Will Take Charge,5/4/2013,"3, c, Unbridled's Song - Take Charge Lady, by Dehere",D. Lukas,He got a little nick - D. Lukas,Finished seventh at 11-1 odds in the Grade 1 Preakness Stakes at Pimlico on May 18,,,,,,,,,,,,,,,,,
Wiser Now,1/27/2012,"5, g, Wised Up - Binnopoly, by Fast Play",J. Cibelli,Vet list,Finished fourth at 4-1 odds in a maiden special weight at Tampa Bay on February 14,,,,,,,,,,,,,,,,,
Wyck Hill,2/23/2013,"9, g, Pierre - Willow Rose, by Roselier",D. Bridgwater,"Cut near-hind leg (8 stitches, 14 staples)",Finished third at 11-2 odds in the Three Pat Taaffe Handicap Chase at Punchestown on April 27,,,,,,,,,,,,,,,,,
You Me and Ema B,6/21/2012,"5, m, You and I - Carrie Ann, by Son of Briartic",M. Lloyd,Non-displaced chip ankle (surgery) + Body Sore + Pulled muscle,Finished third at 9-1 odds in an 'n$y' allowance at Emerald on April 21,,,,,,,,,,,,,,,,,
Zaikov,4/22/2013,"3, c, Distorted Humor - Wait a While, by Maria's Mon",T. Pletcher,Shin,Finished first at 2-5 odds in an 'n1x' allowance at Gulfstream on December 13,,,,,,,,,,,,,,,,,
Zhivago,11/13/2013,"6, h, Thunder Gulch - Bluebird Day, by Sadler's Wells",H. Bond,Undisclosed problems,"Finished fifth at 5-1 odds in a $35,000 optional claimer at Aqueduct on November 15",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DELETIONS - 2012,Date Added,"Age, Sex, Pedigree",TRAINER,INJURY,"LAST RACE (DISTANCE - TRACK, DATE)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Acclamation,10/11/2011,"6, h, Unusual Heat - Winning in Style, by Silveyville",D. Warren,Bruised right front foot + Signs of unsoundness in ankle (missed few days training),Finished first at 1-1 odds in the Grade 1 Charles Whittingham Memorial Handicap at Betfair Hollywood on June 9,,,,,,,,,,,,,,,,,
Achak,12/26/2011,"6, g, Invincible Spirit - She's So Lovely, by Distant Relative",D. O'Neill,Injured,"Finished second at 2-1 odds in a $20,000 claimer at Del Mar on August 26",,,,,,,,,,,,,,,,,
Achilles,11/12/2011,"3, c, Smart Strike - Solvig, by Caerleon",N. Drysdale,Unsound,Finished first at 6-1 odds in a maiden special weight at Santa Anita on March 10,,,,,,,,,,,,,,,,,
Activate,1/12/2012,"3, g, Parents' Reward - Nothin But a Thing, by Marquetry",T. Hamm,Vet's list,Finished fourth at 7-2 odds in a maiden special weight at Beulah on January 23,,,,,,,,,,,,,,,,,
Adios Nardo,1/21/2012,"3, g, Invisible Ink - Tambien Me Voy, by Orono",J. Chapman,Bled after workout,Finished seventh at 25-1 odds in a maiden special weight at Tampa Bay on February 4,,,,,,,,,,,,,,,,,
Adios Problemas,1/2/2012,"3, f, High Brite - Tiz a Problem, by Cee's Tizzy",D. Pederson,Sick,"Finished sixth at 2-1 odds in a $32,000 claimer at Santa Anita on March 8",,,,,,,,,,,,,,,,,
Adirondack King,3/23/2012,"3, c, Lawyer Ron - Jostle, by Brocco",J. Servis,Colic,Finished fifth at 4-1 odds in the Grade 2 Jerome Stakes at Aqueduct on April 21,,,,,,,,,,,,,,,,,
Admiral Rowan,9/18/2011,"4, c, Boomerang - Princess Con, by Czarcon",J. Mendoza,Sick,"Finished seventh at 65-1 odds in a $32,000 maiden claimer at Fairplex on September 16",,,,,,,,,,,,,,,,,
Adonis D N A,11/19/2011,"3, c, Unbridled's Song - Lungta, by Storm Cat",D. O'Neill,Sick,"Finished tenth at 8-1 odds in a $20,000 maiden claimer at Fairplex on September 8",,,,,,,,,,,,,,,,,
A Golden Jet,7/3/2011,"4, f, America's Storm - Golden K K, by Western Fame",T. West/R. March,Unsound,"Finished seventh at 7-1 odds in an $8,000, 'n2L' waiver claimer at Stockton on September 27",,,,,,,,,,,,,,,,,
Akickintheface,1/19/2012,"3, c, With Distinction - Jo Ann's Gal, by Relaunch",B. McCarthy,Bled after workout,"Finished first at 5-1 odds in a $12,500 maiden claimer at Tampa Bay on January 29",,,,,,,,,,,,,,,,,
Alala,1/5/2012,"4, f, Salt Lake - Sceptre's Own, by Green Dancer",D. Vienna,Sick,"Finished fifth at 2-1 odds in a $40,000 starter allowance at Golden Gate on February 3",,,,,,,,,,,,,,,,,
Alice's Rahy,12/30/2011,"4, g, Rahy - Cool Alice, by Slew o' Gold",O. Jauregui,Sick,"Finished eighth at 17-10 odds in a $4,000, 'N3L' claimer at Golden Gate on January 14",,,,,,,,,,,,,,,,,
All Star Heart,11/29/2011,"5, m, Arch - Gift of the Night, by Ascot Knight",R. McAnally,Splint right front leg,Finished first at 3-1 odds in the Redondo Beach Stakes at Betfair Hollywood on June 10,,,,,,,,,,,,,,,,,
Along for the Ride,9/3/2011,"5, m, Redattore - All Circuits Go, by Slewdledo",D. Cabral,Unsound,"Finished third at 3-1 odds in a $4,000 'n2L' claimer at Golden Gate on February 19",,,,,,,,,,,,,,,,,
Alpha,4/16/2012,"3, c, Bernardini - Munnaya, by Nijinsky II",K. McLaughlin,"Cuts left shin (infection, antibiotics), Grabbed quarter (missed 4 days and workout) + Superficial cut right front ankle",Finished twelfth at 19-1 odds in the Grade 1 Kentucky Derby at Churchill on May 5,,,,,,,,,,,,,,,,,
Alpha,5/31/2012,"3, c, Bernardini - Munnaya, by Nijinsky II",K. McLaughlin,"103-degree fever (antibiotics, missed two days training))",Finished first at 9-5 odds in the Grade 2 Jim Dandy Stakes at Saratoga on July 28,,,,,,,,,,,,,,,,,
Alphie's Bet,10/22/2010,"5, h, Tribal Rule - Miss Alphie, by Candi's Gold",A. Barba,Bone chip knee (arthroscopic surgery) + Setback,Finished tenth at 14-1 odds in an 'n2x' optional claimer at Betfair Hollywood on November 10,,,,,,,,,,,,,,,,,
Alluvial Gold,12/28/2011,"3, f, Danehill Dancer - Sneaky Quiet, by Seeking the Gold",P. Biancone,Vet. Treatment,Finished ninth at 6-1 odds in a maiden special weight at Santa Anita on March 3,,,,,,,,,,,,,,,,,
Ambassy,7/16/2011,"6, g, Amnesty - Amber Kitty - In Tissar",A. Saavedra,Unsound,"Finished eighth at 19-1 odds in a $4,000 'beaten' claimer at Fresno on October 4",,,,,,,,,,,,,,,,,
A Natural,2/18/2011,"4, f, Pure Prize - Wild Note, by Wild Again",D. O'Neill,Unsound,"Finished second at 2-1 odds in a $16,000 claimer at Santa Anita on March 29",,,,,,,,,,,,,,,,,
Animal Kingdom,6/16/2011,"4, c, Leroidesanimaux - Dalicia, by Acatenango",H. Motion,Slab fracture left hind hock (surgery to insert screw) + Popped splint,Finished first at 3-5 odds in an 'n3x' optional claimer at Gulfstream on February 18,,,,,,,,,,,,,,,,,
Animal Kingdom,3/14/2012,"4, c, Leroidesanimaux - Dalicia, by Acatenango",H. Motion,"Stress fracture in left ilium (pelvis, no surgery, missed 60 days)",Finished second at 10-1 odds in the Grade 1 Breeders' Cup Mile at Santa Anita on November 3,,,,,,,,,,,,,,,,,
Another Gear,10/9/2011,"3, c, Lemon Drop Kid - Classy Charm, by Silver Charm",B. Flint,Bled workout ,Finished fifth at 7-1 odds in a maiden special weight at Turfway on September 29,,,,,,,,,,,,,,,,,
Anthony's Cross,5/1/2011,"4, c, Indian Charlie - Screening, by Unbridled",E. Harty,"Inflammation in neck that resulted in elevated temperatures (lingered for 10 days, treated with antibiotics) + Ankle chip (surgery)",Finished seventh at 11-1 odds in an 'n2x' allowance at Santa Anita on March 22,,,,,,,,,,,,,,,,,
Antonia Autumn,6/13/2012,"3, f, Bernstein - Chipeta Springs, by Alydar",C. Clement,Unsound behind,Finished third at 7-10 odds in an 'n1x' optional claimer at Belmont on July 15,,,,,,,,,,,,,,,,,
Applauding,1/21/2012,"3, f, Congrats - Andria's Forest, by Forestry",A. Stall Jr.,"Signs of colic + ""I don’t know if something’s bugging her internally"" - J. Jones (sent to Rood and Riddle)",Finished first at 1-2 odds in an 'n2x' optional claimer at Churchill Downs on November 21,,,,,,,,,,,,,,,,,
Apriority,1/3/2012,"5, h, Grand Slam - Midway Squall, by Storm Bird",D. Fawkes,Grabbed quarter left front ,Finished seventh at 19-10 odds in the Florida Sunshine Millions Sprint at Gulfstream on January 28,,,,,,,,,,,,,,,,,
Apriority,2/7/2012,"5, h, Grand Slam - Midway Squall, by Storm Bird",D. Fawkes,"""I guess his foot might have still been bothering him a little in that last race,” - D. Fawkes",Finished second at 5-2 odds in a 'n4x' optional claimer at Gulfstream on March 11,,,,,,,,,,,,,,,,,
Archetype,6/5/2011,"3, f, Arch - Christmas Pageant, by Theatrical",G. Arnold II,Bled workout 6/5/11,Finished second at 3-1 odds in a maiden special weight at Indiana Downs on June 9,,,,,,,,,,,,,,,,,
Argyll Lad,1/1/2012,"4, g, Raz Lea - Cash in On Stardom, by Prospective Star",R. Rosales,Injured + Sick,"Finished second at 7-10 odds in a $2,500 maiden claimer at Los Alamitos on January 29",,,,,,,,,,,,,,,,,
Arthur's Tale,4/5/2012,"4, c, Bernardini - Owsley, by Harlan",T. Albertrani,Minor issues - T. Albertrani,Finished sixth at 4-1 odds in the Action Stakes at Aqueduct on April 15,,,,,,,,,,,,,,,,,
Askbut I Won'ttell,12/13/2011,"6, m, Horse Chestnut - Silver Dollar Kate, by Green Dancer",C. Block,Bled,Finished ninth at 7-1 odds in the Florida Sunshine Millions Filly and Mare Turf at Gulfstream at January 28,,,,,,,,,,,,,,,,,
Assateague,11/25/2011,"3, f, Stormy Atlantic - Amelia, by Dixieland Band",M. Matz,Unsound,Finished first at 13-1 odds in an 'n1x' allowance at Saratoga on July 28,,,,,,,,,,,,,,,,,
Atigun,3/9/2012,"3, c, Istan - Rimini Road, by Dynaformer",K. McPeek,Quarter crack,Finished eleventh at 17-1 odds in the Grade 2 Rebel Stakes at Oaklawn on March 17,,,,,,,,,,,,,,,,,
Atlantic Hurricane,5/21/2012,"5, m, Halo's Image - It's the Cats Meow, by Stormy Atlantic",S. Simon,Her blood levels are a little out of whack - S. Simon,Finished first at 4-5 odds in an 'ANC' allowance at Woodbine on July 6,,,,,,,,,,,,,,,,,
A Toast to You,8/1/2011,"3, c, Tribal Rule - Whitewinesipper, by Apollo",J. Sadler ,Knee,Finished eighth at 14-1 odds in the Echo Eddie Stakes at Santa Anita on March 31,,,,,,,,,,,,,,,,,
Atta Boy Roy,6/29/2012,"7, r, Tribunal - Irish Toast, by Synastry",V. Lund,Displaced colon (abdominal surgery),Finished tenth at 2-1 odds in the Bienvenides Stakes at Turf Paradise on October 5,,,,,,,,,,,,,,,,,
Aubby K,2/29/2012,"3, f, Street Sense - Lilly Capote, by Capote",R. Nicks,"""Little 2-year-old stuff that needed some time"" - R. Nicks",Finished first at 1-1 odds in an 'n1x' optional claimer at Gulfstream on March 25,,,,,,,,,,,,,,,,,
Avarooskie,12/19/2011,"3, f, Congrats - Chelsea Rose, by West by West",B. Koriner,Foot abscess,Finished eighth at 7-1 odds in an 'n1x' optional claimer at Del Mar on August 22,,,,,,,,,,,,,,,,,
Awesome Feather,6/5/2012,"4, f, Awesome of Course - Precious Feather, by Gone West",C. Brown,Undisclosed,Finished first at 1-5 odds in the Nasty Storm Stakes at Belmont on September 20,,,,,,,,,,,,,,,,,
