Winning Horse Name,Sire Name,Race Date,Track,Purse,Race Name,Grade,"Speed
Rating","Class 
Rating",,,,
Room for Me,Harlington,03-21-15,Aqueduct,"$50,000",Videogenic S.,,107,122.3,,,,
Sheer Drama,Burning Roma,03-21-15,Gulfstream Park,"$200,000",Royal Delta S.,2,105,124,,,,
Page McKenney,Eavesdropper,03-21-15,Laurel Park,"$100,000",Harrison E. Johnson Memorial S.,,103,121.4,,,,
Dubai Sky,Candy Ride (ARG),03-21-15,Turfway Park,"$550,000",Spiral S.,3,103,119.5,,,,
N. F.'s Destiny,Cuvee,03-21-15,Aqueduct,"$50,000",Kelly Kip S.,,102,118.5,,,,
Stormin Monarcho,Monarchos,03-21-15,Aqueduct,"$100,000",Mr. Sinatra S.,,102,119.5,,,,
Piquant,Arch,03-21-15,Aqueduct,"$70,000",Peeping Tom S.,,101,119,,,,
Eddy Gourmet,Eddington,03-21-15,Laurel Park,"$100,000",Conniver S.,,99,119.8,,,,
Bridget's Big Luvy,Tiz Wonderful,03-21-15,Laurel Park,"$100,000",Private Terms S.,,98,116.5,,,,
Days Ride,Strong Contender,03-21-15,Aqueduct,"$80,000",Stud Muffin S.,,98,119.9,,,,
Doubledown Again,Rockport Harbor,03-21-15,Aqueduct,"$90,000",Caixa Eletronica S,,97,119,,,,
Classic Point,Flatter,03-21-15,Gulfstream Park,"$200,000",Inside Information S.,2,94,120.9,,,,
Tizmas,Tiznow,03-21-15,Aqueduct,"$60,000",More To Tell S.,,93,119.9,,,,
By the Moon,Indian Charlie,03-21-15,Laurel Park,"$100,000",Caesar's Wish S.,,92,117.2,,,,
Subtle Indian,Indian Charlie,03-21-15,Oaklawn Park,"$100,000",Gazebo S.,,92,116.3,,,,
Papacoolpapacool,Temple City,03-21-15,Santa Anita Park,"$75,000",Pasadena S.,,92,117.2,,,,
Don't Leave Me,Lemon Drop Kid,03-21-15,Turfway Park,"$150,000",Bourbonette Oaks,3,90,116.4,,,,
Before You Know It,Hard Spun,03-21-15,Aqueduct,"$80,000",Karakorum Elektra S.,,90,121.4,,,,
My Savannah Belle,Afleet Alex,03-21-15,Aqueduct,"$70,000",Xtra Heat S.,,88,116.7,,,,
Tensas Harbor,Private Vow,03-21-15,Fair Grounds,"$60,000",Red Camelia S.,,86,117.8,,,,
Pebble Beach Baby,Rock Hard Ten,03-21-15,Aqueduct,"$60,000",Sis City S.,,83,117.2,,,,
Turco Bravo (CHI),Caesarion (IRE),03-22-15,Aqueduct,"$100,000",Stymie S.,,106,120.7,,,,
Firing Line,Line of David,03-22-15,Sunland Park,"$800,000",Sunland Derby,3,101,122.5,,,,
Unfettered,Rockport Harbor,03-22-15,Sunland Park,"$100,000",Bill Thomas Memorial S.,,97,120.5,,,,
Wild in the Saddle,Silic (FR),03-22-15,Santa Anita Park,"$100,000",Dream of Summer S.,,93,118.2,,,,
African Rose,Bwana Charlie,03-22-15,Sunland Park,"$100,000",Harry Henson H.,,88,115.8,,,,
Maybellene,Lookin At Lucky,03-22-15,Sunland Park,"$200,000",Sunland Park Oaks,,88,117.3,,,,
Funnyoushouldask,Reuben,03-22-15,Sunland Park,"$85,000",La Coneja S.,,84,114.4,,,,
Weather Dodger,Weather Warning,03-22-15,Sunland Park,"$100,000",New Mexico Breeder's Derby,,80,114.1,,,,
Desert Tricks,Desert God,03-22-15,Sunland Park,"$100,000",New Mexico Breeders' Oaks,,78,114.2,,,,
Competitive Edge,Super Saver,03-27-15,Gulfstream Park,"$60,000",Tamarac S.,,101,122.2,,,,
Trace Creek,Harperstown,03-27-15,Oaklawn Park,"$75,000",Arkansas Breeders' S.,,90,115.5,,,,
Commissioner,A.P. Indy,03-28-15,Gulfstream Park,"$150,000",Skip Away S.,3,113,122.1,,,,
Chocolate Ride,Candy Ride (ARG),03-28-15,Fair Grounds,"$300,000",Mervin H. Muniz Jr. H.,2,108,119.9,,,,
Pants On Fire,Jump Start,03-28-15,Gulfstream Park,"$100,000",Sir Shackleton S.,,105,122.3,,,,
Materiality,Afleet Alex,03-28-15,Gulfstream Park,"$1,000,000",Florida Derby,1,105,121.8,,,,
Sky Kingdom,Empire Maker,03-28-15,Santa Anita Park,"$100,000",Tokyo City Cup S.,3,103,122.6,,,,
Imagining,Giant's Causeway,03-28-15,Gulfstream Park,"$150,000",Pan American S.,3,101,121.6,,,,
Lady Lara (IRE),Excellent Art (GB),03-28-15,Gulfstream Park,"$300,000",Honey Fox S.,2,99,119.4,,,,
International Star,Fusaichi Pegasus,03-28-15,Fair Grounds,"$750,000",Louisiana Derby,2,99,119.5,,,,
Beauty Parlor,Elusive Quality,03-28-15,Gulfstream Park,"$150,000",Orchid S.,3,98,120.3,,,,
Birdatthewire,Summer Bird,03-28-15,Gulfstream Park,"$250,000",Gulfstream Park Oaks,2,97,121.8,,,,
Call Me George,Point Given,03-28-15,Fair Grounds,"$400,000",New Orleans H.,2,97,120.4,,,,
Broadway Empire,Empire Maker,03-28-15,Turf Paradise,"$35,000",Coyote H.,,96,118.8,,,,
War Correspondent,War Front,03-28-15,Gulfstream Park,"$150,000",Appleton S.,3,94,120,,,,
Creative Art,Shore Breeze,03-28-15,Hawthorne,"$50,000",Robert S. Molaro H.,,94,117.3,,,,
I'm a Chatterbox,Munnings,03-28-15,Fair Grounds,"$400,000",Fair Grounds Oaks,2,92,119.1,,,,
Win'em All,Cherokee Rap,03-28-15,Hawthorne,"$50,000",Third Chance H.,,90,118.5,,,,
Lady Rosberg,Rosberg,03-28-15,Turf Paradise,"$35,000",Mesa H.,,89,117.3,,,,
Udoknowjack,Storm Day,03-28-15,Fair Grounds,"$60,000",Star Guitar S.,,89,118,,,,
Heitai,Fusaichi Pegasus,03-28-15,Fair Grounds,"$60,000",Costa Rising S.,,86,118.9,,,,
Justalittlesmoke,Smoke Glacken,03-28-15,Mahoning Valley,"$75,000",Southern Park S.,,86,114.2,,,,
Four Leaf Chief,Lookin At Lucky,03-28-15,Fair Grounds,"$75,000",Crescent City Derby,,82,115.3,,,,
Be My Caroline,Storm and a Half,03-28-15,Oaklawn Park,"$75,000",Rainbow Miss S.,,82,113.3,,,,
Pacific Pink,Private Vow,03-28-15,Fair Grounds,"$75,000",Crescent City Oaks,,80,117.1,,,,
Blue Tone,Birdstone,03-29-15,Santa Anita Park,"$75,000",Santana Mile S.,,93,119.4,,,,
Weast Hill,Rockport Harbor,03-29-15,Oaklawn Park,"$75,000",Rainbow S.,,92,114.5,,,,
Celestine,Scat Daddy,03-29-15,Gulfstream Park,"$75,000",Sanibel Island S.,,88,116.5,,,,
Force the Pass,Speightstown,04-01-15,Gulfstream Park,"$60,000",Cutler Bay S.,,78,115.1,,,,
Kobe's Back,Flatter,04-04-15,Keeneland,"$300,000",Commonwealth S.,3,109,121.7,,,,
Frosted,Tapit,04-04-15,Aqueduct,"$1,000,000",Wood Memorial S.,1,107,120.7,,,,
Dortmund,Big Brown,04-04-15,Santa Anita Park,"$1,000,000",Santa Anita Derby,1,106,121.3,,,,
Princess Violet,Officer,04-04-15,Keeneland,"$350,000",Madison S.,1,105,123.4,,,,
Gimme Da Lute,Midnight Lute,04-04-15,Santa Anita Park,"$200,000",Echo Eddie S.,,103,119.2,,,,
Something Extra,Indian Charlie,04-04-15,Keeneland,"$125,000",Shakertown S.,3,102,120.6,,,,
Carpe Diem,Giant's Causeway,04-04-15,Keeneland,"$1,000,000",Blue Grass S.,1,102,120.8,,,,
Dads Caps,Discreet Cat,04-04-15,Aqueduct,"$400,000",Carter H.,1,101,122.5,,,,
Stellar Wind,Curlin,04-04-15,Santa Anita Park,"$400,000",Santa Anita Oaks,1,98,121.1,,,,
Condo Commando,Tiz Wonderful,04-04-15,Aqueduct,"$300,000",Gazelle S.,2,97,121,,,,
Az Ridge,Toccet,04-04-15,Turf Paradise,"$35,000",Wildcat H.,,97,119,,,,
Lovely Maria,Majesticperfection,04-04-15,Keeneland,"$500,000",Ashland S.,1,96,120.8,,,,
Talco (FR),Pivotal (GB),04-04-15,Santa Anita Park,"$75,000",Thunder Road S.,,96,120.4,,,,
R Free Roll,Rockport Harbor,04-04-15,Gulfstream Park,"$60,000",Orange Blossom H.,,95,119.3,,,,
R Sassy Lass,Exclusive Quality,04-04-15,Tampa Bay Downs,"$75,000",Stonehedge Farm South Sophomore Fillies S.,,94,119.5,,,,
March,Blame,04-04-15,Aqueduct,"$300,000",Bay Shore S.,3,93,120.3,,,,
Lake Drive South,Pomeroy,04-04-15,Tampa Bay Downs,"$75,000",Hilton Garden Inn/Hampton Inn and Suites Sprint S.,,93,117.4,,,,
Charlie's Brother,With Distinction,04-04-15,Tampa Bay Downs,"$75,000",Ocala Breeders' Sales Sophomore S.,,92,117,,,,
Evidently,Smart Strike,04-04-15,Tampa Bay Downs,"$75,000",Pleasant Acres Stallions Distaff Turf S.,,92,118,,,,
Spirit of Xian (IRE),Kodiac (GB),04-04-15,Santa Anita Park,"$150,000",Providencia S.,3,92,117.3,,,,
Include Betty,Include,04-04-15,Oaklawn Park,"$400,000",Fantasy S.,3,91,119,,,,
Old Time Hockey,Smarty Jones,04-04-15,Tampa Bay Downs,"$75,000",Tampa Turf Classic S.,,90,117.8,,,,
Sheer Pleasure,Birdonthewire,04-04-15,Santa Anita Park,"$200,000",Evening Jewel S.,,89,118.7,,,,
World Approval,Northern Afleet,04-04-15,Tampa Bay Downs,"$75,000",Sophomore Turf S.,,84,115.4,,,,
Jungle Java,Rocky Bar,04-04-15,Turf Paradise,"$35,000",Arizona Stallion S.,,77,112,,,,
Enchanting Lady,Tale of the Cat,04-05-15,Santa Anita Park,"$75,000",Santa Paula S.,,99,119.3,,,,
Skip Tony,Mizzen Mast,04-05-15,Santa Anita Park,"$30,000",Black Jack Starter H.,,91,117.8,,,,
More Than Even,Stephen Got Even,04-06-15,Will Rogers Downs,"$50,000",Wilma Mankiller Memorial S.,,91,117.8,,,,
Spring Included,Include,04-08-15,Oaklawn Park,"$100,000",Carousel S.,,93,120.3,,,,
Alsvid,Officer,04-09-15,Oaklawn Park,"$300,000",Count Fleet Sprint H.,3,105,121.8,,,,
Wagson,Wagon Limit,04-09-15,Lone Star Park,"$50,000",Premiere S.,,86,117.4,,,,
Beholder,Henny Hughes,04-10-15,Santa Anita Park,"$75,000",Santa Lucia S.,,101,120.3,,,,
Holy Boss,Street Boss,04-10-15,Oaklawn Park,"$100,000",Bachelor S.,,98,118.7,,,,
Untapable,Tapit,04-10-15,Oaklawn Park,"$600,000",Apple Blossom H.,1,97,120.8,,,,
Jack Milton,War Front,04-10-15,Keeneland,"$300,000",Maker's 46 Mile S.,1,97,121.4,,,,
Protonico,Giant's Causeway,04-11-15,Keeneland,"$150,000",Ben Ali S.,3,107,123,,,,
Katie's Eyes,Leroidesanimaux (BRZ),04-11-15,Keeneland,"$100,000",Giant's Causeway S.,,107,120.3,,,,
Race Day,Tapit,04-11-15,Oaklawn Park,"$600,000",Oaklawn H.,2,106,124,,,,
American Pharoah,Pioneerof the Nile,04-11-15,Oaklawn Park,"$1,000,000",Arkansas Derby,1,102,121.1,,,,
Masochistic,Sought After,04-11-15,Santa Anita Park,"$200,000",Kona Gold S.,2,100,121,,,,
Divining Rod,Tapit,04-11-15,Keeneland,"$250,000",Lexington S.,3,96,120,,,,
Serious Talk,Forestry,04-11-15,Woodbine,"$125,000",Woodstock S.,,96,115.4,,,,
Wolf Man Rocket,Mineshaft,04-11-15,Oaklawn Park,"$100,000",Northern Spur S.,,95,118,,,,
House Rules,Distorted Humor,04-11-15,Aqueduct,"$200,000",Top Flight H.,3,94,120.5,,,,
Home Journey,Good Journey,04-11-15,Santa Anita Park,"$100,000",Las Cienegas S.,3,93,120.1,,,,
Ball Dancing,Exchange Rate,04-11-15,Keeneland,"$300,000",Jenny Wiley S.,1,92,120.2,,,,
Lasting Bubbles,Pulling Punches,04-11-15,Lone Star Park,"$50,000",Wayne Hanks Memorial S.,,92,117.1,,,,
Recount,Limehouse,04-11-15,Hawthorne,"$50,000",Land of Lincoln S.,,91,116.1,,,,
Promise Me Silver,Silver City,04-11-15,Oaklawn Park,"$100,000",Instant Racing S.,,90,117.9,,,,
Prettypriceygirl,Scat Daddy,04-11-15,Sunland Park,"$50,000",Czaria H.,,86,117.1,,,,
Lady Kelia,The Bold Bruiser,04-11-15,Hawthorne,"$50,000",Pretty Jenny S.,,83,114.6,,,,
Proceed,Desert God,04-12-15,Sunland Park,"$75,000",Sunland Park H.,,107,121.7,,,,
Yiannis,Midshipman,04-12-15,Santa Anita Park,"$75,000",San Pedro S.,,96,118.2,,,,
Lady Eli,Divine Park,04-12-15,Keeneland,"$125,000",Appalachian S. ,3,94,118,,,,
Ancient Goddess (FR),Iffraaj (GB),04-12-15,Woodbine,"$125,000",Star Shoot S.,,91,116.6,,,,
Aquinnah,City Place,04-12-15,Gulfstream Park,"$60,000",Sunset S.,,90,117.1,,,,
Miss Ella,Exchange Rate,04-12-15,Keeneland,"$250,000",Beaumont S.,2,80,118.9,,,,
Flat Black,Flatter,04-13-15,Will Rogers Downs,"$50,000",Clem McSpadden Memorial Route 66 S.,,87,117.8,,,,
Naevussquall,Squall,04-13-15,Sunland Park,"$55,000",Copper Top Futurity,,75,112.5,,,,
Rapping Mary,Rapper S S,04-13-15,Sunland Park,"$55,000",Copper Top Futurity,,72,115,,,,
Night Prowler,Giant's Causeway,04-15-15,Keeneland,"$100,000",Transylvania S.,3,86,115.3,,,,
Stellar Path (FR),Astronomer Royal,04-17-15,Aqueduct,"$100,000",Plenty of Grace S.,,98,118.8,,,,
Deceptive Vision,A.P. Indy,04-17-15,Keeneland,"$100,000",Doubledogdare S.,3,97,118.7,,,,
Unspurned,Lemon Drop Kid,04-18-15,Woodbine,"$150,000",Whimsical S.,3,102,119.3,,,,
Moreno,Ghostzapper,04-18-15,Charles Town,"$1,500,000",Charles Town Classic S.,2,101,121.8,,,,
Dramedy,Distorted Humor,04-18-15,Keeneland,"$250,000",Elkhorn S.,2,99,119.8,,,,
Nellie Cashman,Mineshaft,04-18-15,Pimlico,"$100,000",Dahlia S.,,98,117.2,,,,
Galiana,Stonesider,04-18-15,Pimlico,"$100,000",Primonetta S.,,98,118.6,,,,
Bodhisattva,Student Council,04-18-15,Pimlico,"$100,000",Federico Tesio S.,,96,116,,,,
La Verdad,Yes It's True,04-18-15,Aqueduct,"$200,000",Distaff H.,2,95,121.4,,,,
Talk Show Man,Great Notion,04-18-15,Pimlico,"$100,000",Henry S. Clark S.,,95,118.9,,,,
Lady Shipman,Midshipman,04-18-15,Pimlico,"$100,000",Stormy Blues S.,,95,117.7,,,,
Russell Road,Wheaton,04-18-15,Charles Town,"$50,000",Confucius Say S.,,93,118.1,,,,
Whiskey Ticket,Ghostzapper,04-18-15,Hawthorne,"$400,000",Illinois Derby,3,93,118.7,,,,
Yahilwa,Medaglia d'Oro,04-18-15,Hawthorne,"$150,000",Sixty Sails H.,3,93,118.8,,,,
Queen of The Sand (IRE),Footstepsinthesand (GB),04-18-15,Santa Anita Park,"$150,000",Santa Barbara H.,3,92,119.4,,,,
Control Stake,Discreetly Mine,04-18-15,Charles Town,"$100,000",Robert Hilton Memorial S.,,91,116.6,,,,
Justalittlesmoke,Smoke Glacken,04-18-15,Mahoning Valley,"$75,000",Austintown Filly Sprint S.,,90,114.6,,,,
Gliding Alone,Quien,04-18-15,Mahoning Valley,"$75,000",Howard B. Noonan S.,,90,116.1,,,,
Papacoolpapacool,Temple City,04-18-15,Santa Anita Park,"$75,000",La Puente S.,,90,116.5,,,,
Brenda's Way,Weigelia,04-18-15,Pimlico,"$75,000",Geisha S.,,89,119.3,,,,
Taketheodds,Street Sense,04-18-15,Charles Town,"$150,000",Sugar Maple S.,,89,118.8,,,,
Vision Perfect,Pollard's Vision,04-18-15,Aqueduct,"$100,000",Woodhaven S.,,87,115.3,,,,
Get the Sensation,Not for Love,04-18-15,Charles Town,"$50,000",Its Binn Too Long S.,,86,113.4,,,,
Beau Wizer,Premeditation,04-18-15,Albuquerque,"$60,000",O.D. McDonald S.,,85,117.1,,,,
Hear the Chatter,Mass Media,04-18-15,Charles Town,"$50,000",Coin Collector S.,,80,111.3,,,,
Morningisbreaking,Fiber Sonde,04-18-15,Charles Town,"$50,000",Original Gold S.,,74,112.2,,,,
Get Happy Mister,First Samurai,04-19-15,Santa Anita Park,"$100,000",San Simeon S.,3,102,119.5,,,,
Imposing Grace,Empire Maker,04-19-15,Gulfstream Park,"$60,000",Sand Dollar S.,,93,117.9,,,,
Aztec Brave (FR),Pyrus,04-19-15,Aqueduct,"$100,000",Danger's Hour S.,,91,120.2,,,,
U S Marshal,Badge of Silver,04-19-15,Woodbine,"$100,000",Wando S.,,89,114.6,,,,
City of Weston,Holy Bull,04-23-15,Gulfstream Park,"$60,000",Blue Heron H.,,96,118.6,,,,
Consumer Credit,More Than Ready,04-23-15,Aqueduct,"$100,000",Memories of Silver S.,,90,116.5,,,,
Kitten's Point,Kitten's Joy,04-24-15,Keeneland,"$150,000",Bewitch S.,3,95,119.5,,,,
Tensas Harbor,Private Vow,04-24-15,Evangeline Downs,"$60,000",Matron S.,,88,117.4,,,,
Effinex,Mineshaft,04-25-15,Aqueduct,"$200,000",Excelsior S.,3,105,121.6,,,,
Stormdriver,Discreet Cat,04-25-15,Evangeline Downs,"$60,000",John Henry S.,,102,120.7,,,,
Luv Bandit,Yonaguska,04-25-15,Hawthorne,"$50,000",Milwaukee Avenue H.,,101,120.6,,,,
Cinco Charlie,Indian Charlie,04-25-15,Churchill Downs,"$100,000",William Walker S.,,98,119,,,,
Joy Boy,Tribal Rule,04-25-15,Fonner Park,"$75,000",Gus Fonner S.,,97,118.9,,,,
Rerun,Grand Reward,04-25-15,Gulfstream Park,"$100,000",Miami Mile S.,3,97,119.6,,,,
Rosie My Rosie,Purge,04-25-15,Hawthorne,"$50,000",Peach of It H.,,95,118.8,,,,
Tribal Gal,Tribal Rule,04-25-15,Turf Paradise,"$35,000",Ann Owens Distaff H.,,94,117.3,,,,
Baffle Me,First Samurai,04-25-15,Gulfstream Park,"$75,000",Powder Break S.,,94,119.2,,,,
Si Sage (FR),Sageburg (IRE),04-25-15,Santa Anita Park,"$100,000",Last Tycoon S.,3,92,120.7,,,,
Royal Squeeze,Wildcat Heir,04-25-15,Gulfstream Park,"$60,000",Tarpon S.,,91,117.8,,,,
Jamaican Memories,Slew City Slew,04-25-15,Turf Paradise,"$35,000",Lyman and Bradley Rollins H.,,90,117.1,,,,
G. G. Ryder,Chhaya Dance,04-25-15,Golden Gate Fields,"$100,000",San Francisco Mile S.,3,90,118.7,,,,
I'm Workin On It,Quien,04-25-15,Prairie Meadows,"$75,000",Goldfinch S.,,87,116.9,,,,
Red Zeus,Red Sky's,04-25-15,Turf Paradise,"$35,000",Dwight D. Patterson H.,,83,113.4,,,,
Untraveled,Canadian Frontier,04-25-15,Albuquerque,"$55,000",Petticoat S.,,82,113.8,,,,
Worthy Grapes,Distorted Reality,04-25-15,Turf Paradise,"$35,000",Joanne Dye S.,,72,111.9,,,,
Prospector's Blues,Benton Creek,04-25-15,Turf Paradise,"$50,000",Gene Fleming Breeders' Derby,,71,110.1,,,,
Calgary Cat,Cowtown Cat,04-26-15,Woodbine,"$125,000",Jacques Cartier S.,,102,120.1,,,,
Rather Beautiful,Malibu Moon,04-26-15,Hastings Racecourse,"$50,000",Brighouse Belles S.,,96,119.4,,,,
Irish Jasper,First Defence,04-26-15,Aqueduct,"$100,000",Belle Harbor S.,,94,118.4,,,,
Modern,Tiznow,04-26-15,Hastings Racecourse,"$50,000",George Royal S.,,94,118,,,,
Blingismything,Arch,04-26-15,Santa Anita Park,"$100,000",Wilshire S.,3,93,119,,,,
Possessed,Posse,04-26-15,Aqueduct,"$100,000",New York Stallion S.,,90,115.3,,,,
Take Issue,Sir Whimsey,04-26-15,Aqueduct,"$100,000",New York Stallion S.,,86,115.7,,,,
Grazen Sky,Grazen,04-26-15,Golden Gate Fields,"$100,000",Silky Sullivan S.,,81,115.1,,,,
La Fiera,Comic Strip,04-26-15,Golden Gate Fields,"$100,000",Campanile S.,,77,114.6,,,,
Heykittykittykitty,Tactical Cat,04-27-15,Will Rogers Downs,"$55,000",Will Rogers Downs Classic Distaff Sprint S.,,96,116.8,,,,
Z Rockstar,Rockport Harbor,04-28-15,Will Rogers Downs,"$55,000",TRAO Classic Sprint S.,,84,116.6,,,,
Mosler,War Front,04-29-15,Belmont Park,"$100,000",Elusive Quality S.,,100,119.3,,,,
Protonico,Giant's Causeway,05-01-15,Churchill Downs,"$400,000",Alysheba S.,2,107,123.1,,,,
Molly Morgan,Ghostzapper,05-01-15,Churchill Downs,"$300,000",La Troienne S.,1,102,122.8,,,,
Lovely Maria,Majesticperfection,05-01-15,Churchill Downs,"$1,000,000",Kentucky Oaks,1,101,121.6,,,,
Power Alert (AUS),Alert (ARG),05-01-15,Churchill Downs,"$150,000",TwinSpires Turf Sprint S.,3,101,119.6,,,,
Promise Me Silver,Silver City,05-01-15,Churchill Downs,"$200,000",Eight Belles S.,3,98,120.2,,,,
El Deal,Munnings,05-01-15,Belmont Park,"$100,000",Gold Fever S.,,98,118.3,,,,
Texas Air,Texas City,05-01-15,Lone Star Park,"$200,000",Texas Mile S.,3,97,119.7,,,,
A M Milky Way,Elusive Bluff,05-01-15,Prairie Meadows,"$75,000",Golden Circle S.,,95,117.6,,,,
Wire Me Bessie,Wire Me Collect,05-01-15,Evangeline Downs,"$60,000",Tellike S.,,89,118.8,,,,
Zindaya,More Than Ready,05-01-15,Belmont Park,"$100,000",License Fee S.,,88,119.5,,,,
Avenge,War Front,05-01-15,Santa Anita Park,"$75,000",Ultrafleet S.,,88,116.2,,,,
Feathered,Indian Charlie,05-01-15,Churchill Downs,"$150,000",Edgewood S.,3,84,118,,,,
Tonalist,Tapit,05-02-15,Belmont Park,"$150,000",Westchester S.,3,106,122.4,,,,
Competitive Edge,Super Saver,05-02-15,Churchill Downs,"$200,000",Pat Day Mile S.,3,102,120.7,,,,
Tepin,Bernstein,05-02-15,Churchill Downs,"$300,000",Churchill Distaff Turf Mile S.,2,101,121.3,,,,
American Pharoah,Pioneerof the Nile,05-02-15,Churchill Downs,"$2,000,000",Kentucky Derby,1,100,123.3,,,,
A Fleet Attitude,Afleet Alex,05-02-15,Parx Racing,"$75,000",Lyman H.,,99,119.5,,,,
Private Zone,Macho Uno,05-02-15,Churchill Downs,"$500,000",Churchill Downs S.,2,98,123,,,,
Danzatrice,Dunkirk,05-02-15,Parx Racing,"$75,000",Parx Oaks,,98,119.9,,,,
Finnegans Wake,Powerscourt (GB),05-02-15,Churchill Downs,"$500,000",Woodford Reserve Turf Classic S.,1,98,120.4,,,,
Power of Snunner,Power by Far,05-02-15,Parx Racing,"$75,000",Foxy J. G. S.,,97,121.1,,,,
Catch a Flight (ARG),Giant's Causeway,05-02-15,Santa Anita Park,"$100,000",Precisionist S.,3,97,121.5,,,,
Rivers Run Deep,Ready's Image,05-02-15,Belterra Park,"$75,000",Edward Babst/Albert Palacios Memorial H.,,96,117.4,,,,
Dame Dorothy,Bernardini,05-02-15,Churchill Downs,"$300,000",Humana Distaff S.,1,96,120.8,,,,
Bluegrass Singer,Bluegrass Cat,05-02-15,Parx Racing,"$75,000",Parx Derby,,96,116.5,,,,
R U Watchingbud,Kentucky Bear,05-02-15,Woodbine,"$150,000",Queenston S.,,96,117,,,,
Rosalind,Broken Vow,05-02-15,Belmont Park,"$200,000",Sheepshead Bay S.,2,96,118.9,,,,
Rizwan,Silver Tree,05-02-15,Gulfstream Park,"$75,000",English Channel S.,,94,115.5,,,,
Big Blue Kitten,Kitten's Joy,05-02-15,Belmont Park,"$150,000",Fort Marcy S.,3,94,120.3,,,,
Divisidero,Kitten's Joy,05-02-15,Churchill Downs,"$250,000",American Turf S.,2,92,118,,,,
Reflector,Ready's Image,05-02-15,Evangeline Downs,"$60,000",Need For Speed S.,,90,116.4,,,,
Richard's Boy,Idiot Proof,05-02-15,Santa Anita Park,"$75,000",Desert Code S.,,89,115.7,,,,
Okey Dokey Kyle,Tactical Cat,05-02-15,Will Rogers Downs,"$50,000",Oklahoma Stallion Colts and Geldings Division S.,,82,112.4,,,,
Derby Day Storm,Habayeb,05-02-15,Thistledown,"$75,000",Dr. T.F. Classen Memorial S.,,77,113.6,,,,
Red Sashay,Big Brown,05-02-15,Gulfstream Park,"$75,000",Honey Ryder S.,,74,115.2,,,,
Zealous Vision,The Visualiser,05-02-15,Will Rogers Downs,"$50,000",Oklahoma Stallion Fillies Division S.,,68,109.5,,,,
Spanish Queen,Tribal Rule,05-03-15,Santa Anita Park,"$200,000",Honeymoon S.,2,99,119.1,,,,
Celebrity Star,Dehere,05-03-15,Gulfstream Park,"$60,000",Sunrise S.,,97,118.8,,,,
Loki's Vengeance,Frost Giant,05-03-15,Belmont Park,"$100,000",Affirmed Success S.,,96,120,,,,
Cederberg,Rosberg,05-03-15,Hastings Racecourse,"$50,000",Jim Coleman Province S.,,91,115.2,,,,
London Tower,Head Chopper,05-03-15,Woodbine,"$150,000",Fury S.,,90,117.2,,,,
Quatre Cat,Abraaj,05-03-15,Hastings Racecourse,"$50,000",Ross McLeod S.,,89,115.6,,,,
Az Ridge,Toccet,05-05-15,Turf Paradise,"$35,000",Hasta La Vista H.,,89,117.8,,,,
Ez Deluxe,Ez Dreamer,05-05-15,Turf Paradise,"$35,000",ATBA Spring Sales S.,,60,111.3,,,,
Sweetedge,Added Edge,05-08-15,Horsemen's Park,"$30,000",Falls Amiss H.,,71,111.5,,,,
A. P. Indian,Indian Charlie,05-09-15,Monmouth Park,"$75,000",Decathlon S.,,105,121.5,,,,
Wedding Toast,Street Sense,05-09-15,Belmont Park,"$250,000",Ruffian S.,2,103,122.7,,,,
Twilight Eclipse,Purim,05-09-15,Belmont Park,"$400,000",Man o' War S.,1,100,121.9,,,,
Discreet Marq,Discreet Cat,05-09-15,Belmont Park,"$150,000",Beaugay S.,3,99,118.8,,,,
Madefromlucky,Lookin At Lucky,05-09-15,Belmont Park,"$200,000",Peter Pan S.,2,99,117.9,,,,
Bal a Bali (BRZ),Put It Back,05-09-15,Santa Anita Park,"$100,000",American S.,3,98,120.6,,,,
My Sweet Addiction,Tiznow,05-09-15,Santa Anita Park,"$300,000",Vanity S.,1,96,118.9,,,,
Katie's Eyes,Leroidesanimaux (BRZ),05-09-15,Churchill Downs,"$65,000",Unbridled Sidney S.,,95,118.7,,,,
Skylander Girl,Stroll,05-09-15,Woodbine,"$150,000",Hendrie S.,3,93,119.3,,,,
That's Who,Quinton's Gold,05-09-15,Albuquerque,"$60,000",Lineage Classic S.,,93,115.4,,,,
Sumting Wong,Pikepass,05-09-15,Prairie Meadows,"$80,000",Mamie Eisenhower S.,,93,117.3,,,,
Cainam,Is It True,05-09-15,Prairie Meadows,"$79,000",John Wayne  S.,,92,116,,,,
Supermason,Grasshopper,05-09-15,Lone Star Park,"$75,000",Texas Stallion S.,,89,117.7,,,,
Central Heat,Unusual Heat,05-09-15,Golden Gate Fields,"$50,000",Golden Poppy S.,,85,117.3,,,,
Atillas Gift,Attila's Storm,05-09-15,Albuquerque,"$60,000",Albuquerque Journal S.,,84,114,,,,
Infectious,Valid Expectations,05-09-15,Lone Star Park,"$75,000",Texas Stallion S.,,81,114.7,,,,
Boot Legger,Afleet Express,05-09-15,Belterra Park,"$75,000",Tall Stack S.,,78,112,,,,
My Bikini Fell Off,Elusive Jazz,05-09-15,Albuquerque,"$60,000",Carlos Salazar S.,,77,112.7,,,,
Diabolical Dame,Diabolical,05-09-15,Albuquerque,"$60,000",Bank of Albuquerque S.,,73,114.1,,,,
Morning Shadow,Shadow Hawk,05-09-15,Horsemen's Park,"$30,000",Skunktail S.,,72,104.5,,,,
